Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2021-12,0.0,0.39,0.0,1.5,0.0,0.189,0.0,0.55,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.14,0.0,0.0,0.37,0.0,0.5,0.04,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.183333,0.0,0.0
2021-12,0.0,0.39,0.0,1.5,0.0,1.0,0.0,0.55,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.14,0.0,0.0,0.37,0.0,0.5,0.04,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.183333,0.0,0.0
2021-12,0.0,0.39,0.0,1.5,0.0,1.0,0.0,0.55,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.14,0.0,0.0,0.37,0.0,0.5,0.04,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.183333,0.0,0.0
2022-01,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.247,0.21,0.0,0.62,0.0,0.0,0.47,0.0,0.0,0.0,0.18,0.0
2022-02,0.4,0.0,0.0,0.0,0.68,0.0,0.103,0.0,0.0,0.0,0.0,1.42,0.5,0.0,0.0,0.0,1.62,0.0,1.64,0.0,1.06,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.247,0.0,0.59,0.0,0.77,0.0,0.0,0.9,0.0,0.0,0.0,0.88
2022-03,0.0,0.395,0.0,1.62,0.0,0.189,0.0,0.55,0.69,0.0,0.0,0.0,0.0,2.2,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.16,0.44,0.0,0.0,0.0,0.5,0.04,0.247,0.0,0.0,0.0,0.0,0.79,0.47,0.0,1.2,0.186667,0.0,0.0
2022-04,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.8,0.37,0.0,0.0,0.0,0.247,0.21,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
2022-05,0.4,0.0,0.0,0.0,0.68,0.0,0.103,0.0,0.0,0.0,0.0,1.42,0.5,0.0,0.67,0.0,1.72,0.0,1.65,0.0,1.13,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.247,0.0,0.59,0.0,0.85,0.0,0.0,0.9,0.0,0.186667,0.0,0.88
2022-06,0.0,0.395,0.0,1.62,0.0,0.189,0.0,0.55,0.69,0.0,0.0,0.0,0.0,2.2,0.0,1.07,0.0,0.0,0.0,1.22,0.0,1.16,0.44,0.0,0.0,0.0,0.5,0.04,0.248,0.0,0.0,0.0,0.0,0.79,0.49,0.0,1.2,0.0,0.0,0.0
2022-07,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.05,0.37,0.0,0.0,0.0,0.248,0.21,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
