Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-05-31,2448700,1593200,2394300,926800,761700,2207000,1227900,1919200,692800,3031300,914600,6899800,1260900,499600,1181800,614000,493900,1988300,3702108,2070600,7811000,1474900,11368600,6530400,1000000,4212192,3610000,38972000,1727981,1594900,1214600,329000,1095500,908100,7696700,4137000,1341200,17782500,212200,13983300
2019-06-03,4181400,2087900,1773400,1815700,589700,1706900,1349700,1049700,960200,3652200,1123200,6100800,1497900,337000,1542800,489000,553000,2381500,4463177,1734300,8434600,1793700,14167200,8393900,2000000,4456894,3432400,47864400,1993411,2419600,1647800,420600,849800,880400,3549900,7071800,2356600,19844100,279000,11831000
2019-06-04,3319600,1452700,2468800,1874700,931600,1940800,967600,2216400,929000,3757600,926400,5235600,967800,268200,982800,552400,470600,2617300,4093521,1736100,6648900,2108000,12010600,5560500,2000000,4481173,3760100,64183600,2820559,2118300,2105700,590000,1254200,1124900,3979100,7952700,1249200,17894700,185200,10423000
2019-06-05,3046600,1044400,2052100,1544000,733300,3242200,1071900,888700,1241500,2675200,989700,5105700,763400,237000,852500,471400,328000,2304900,3306720,1006100,6860600,1504700,15837600,5136800,2000000,3781274,2824200,51161600,1704348,1799600,2427300,441100,1313000,1030800,3163900,6744500,667800,20708700,244800,10617800
2019-06-06,3297700,1177000,1953000,1839900,609600,3077100,658400,1274900,811500,3866500,1164200,7370100,906600,151800,919200,280900,402800,2268700,2403917,999900,9115800,1193500,15190400,4569600,1000000,4283833,3471400,40814000,1188554,941900,2578400,296200,763700,1167600,2299300,4558400,753900,24191100,182000,11738900
2019-06-07,2343700,1311800,1735100,1659000,554100,1881400,699500,761900,805600,3453800,1408100,5343100,513400,114700,795200,240300,413700,2936400,2670856,1273400,6533900,1813600,15293600,3974600,1000000,2413169,2243900,34885600,1152228,757300,1859000,335900,948900,694900,2276900,5214100,961200,20428200,251600,9095500
2019-06-10,2942900,1278800,1818400,1109900,475400,1344300,1010100,828300,948900,3191000,644200,5708800,545100,104700,1169200,341900,479700,2573200,3045220,1126500,4994700,899000,9737400,5789500,875600,2700090,4174400,40278000,1430765,1126800,1647800,358200,834000,580500,1350800,3019500,950700,18977100,243500,7760400
2019-06-11,2685200,2485400,2520000,1552900,477100,994900,996400,733100,961500,3184700,776400,5625100,756900,286700,1121900,308100,819500,2546200,3564036,1157400,8230500,1148300,9915600,3256100,1000000,2663731,2211700,38387200,1240361,1426700,1407700,426000,839600,792000,2341000,4285000,867800,20241900,168600,9415100
2019-06-12,2571000,1366300,2170500,1101000,431800,898000,916900,1074400,487500,3230000,751900,4000100,433500,213300,1707400,479200,447200,2361700,2358416,1254900,9216500,1244900,11088100,2878600,1000000,2591014,1674700,35889200,1396193,1027800,672400,350600,530500,532000,1294700,3650900,787000,13905300,190700,7920800
2019-06-13,2890900,920600,1963700,921800,421400,931800,604500,1404700,1991500,2944600,1034800,3993300,874600,219800,830900,254300,305700,2733700,3091244,844300,7500800,1464900,10353600,3617400,1000000,2561234,1973500,30808000,1524780,965600,640600,401400,559700,718400,1975800,3200300,872000,16455000,258800,8986400
